N ,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실 
1,삼성전자,"83,000",500,-0.60%,100,"4,954,920","5,969,783",54.93,"15,123,558",22.67,8.69,
2,SK하이닉스,"125,000","2,500",-1.96%,"5,000","910,003","728,002",49.98,"2,815,502",31.71,4.25,
3,LG화학,"990,000","38,000",-3.70%,"5,000","698,864","70,592",44.53,"287,710",92.50,1.84,
4,삼성전자우,"74,000",300,-0.40%,100,"608,936","822,887",79.28,"1,601,064",20.21,N/A,
5,NAVER,"357,500","5,000",-1.38%,100,"587,242","164,263",57.13,"710,089",71.17,10.56,
6,삼성바이오로직스,"804,000","8,000",-0.99%,"2,500","531,967","66,165",10.37,"67,173",149.69,4.77,
7,삼성SDI,"770,000","5,000",-0.65%,"5,000","529,487","68,765",44.41,"326,165",262.71,2.94,
8,현대차,"234,000","15,500",-6.21%,"5,000","499,984","213,668",31.20,"3,183,597",55.91,4.32,
9,셀트리온,"336,000","5,500",-1.61%,"1,000","453,593","134,998",21.33,"769,144",90.81,11.19,
10,카카오,"457,000","2,000",+0.44%,500,"404,723","88,561",33.62,"510,856",-507.21,-5.81,
11,기아차,"86,300","15,200",-14.98%,"5,000","349,829","405,363",34.81,"25,017,886",40.10,6.50,
12,현대모비스,"322,000","30,500",-8.65%,"5,000","306,076","95,055",40.90,"1,711,813",19.64,7.28,
13,SK이노베이션,"281,500","22,500",-7.40%,"5,000","260,291","92,466",23.33,"2,900,064",-10.71,-0.20,
14,LG생활건강,"1,656,000","30,000",+1.85%,"5,000","258,637","15,618",46.01,"42,756",37.10,20.32,
15,LG전자,"157,000","1,000",-0.63%,"5,000","256,927","163,648",32.53,"1,869,145",34.10,0.22,
16,삼성물산,"132,000","2,500",-1.86%,100,"246,691","186,887",14.79,"573,325",22.11,4.77,
17,POSCO,"268,500","5,500",+2.09%,"5,000","234,097","87,187",51.39,"482,771",24.59,4.18,
18,엔씨소프트,"1,038,000","62,000",+6.35%,500,"227,883","21,954",50.25,"239,137",40.62,14.72,
19,SK,"307,500","8,000",-2.54%,200,"216,358","70,360",21.43,"331,118","1,297.47",4.31,
20,SK텔레콤,"252,000","6,500",-2.51%,500,"203,479","80,746",35.38,"303,957",18.56,3.92,
21,KB금융,"45,050",700,+1.58%,"5,000","187,321","415,808",66.43,"3,186,401",5.50,8.92,
22,LG,"104,000",0,0.00%,"5,000","179,459","172,557",34.89,"548,724",14.70,5.87,
23,신한지주,"32,900","1,100",+3.46%,"5,000","169,961","516,600",58.35,"3,992,567",4.72,9.09,
24,한국전력,"24,050",500,+2.12%,"5,000","154,392","641,964",17.00,"3,633,410",167.01,-3.42,
25,삼성전기,"203,500","4,000",-1.93%,"5,000","152,002","74,694",35.13,"399,242",41.69,10.18,
26,삼성에스디에스,"195,500","1,000",+0.51%,500,"151,274","77,378",11.72,"133,028",28.86,11.76,
27,삼성생명,"72,700",900,+1.25%,500,"145,400","200,000",12.34,"507,318",14.60,3.26,
28,아모레퍼시픽,"225,500","1,500",-0.66%,500,"131,824","58,458",32.46,"309,808",362.54,5.36,
29,넷마블,"137,500","1,000",-0.72%,100,"118,082","85,878",23.93,"397,181",55.69,3.54,
30,SK바이오팜,"149,500",500,+0.34%,500,"117,078","78,313",4.65,"169,963",-135.91,-313.66,
31,하나금융지주,"37,250","1,100",+3.04%,"5,000","111,840","300,242",67.18,"3,521,983",4.56,8.77,
32,KT&G,"79,700",300,-0.37%,"5,000","109,422","137,292",40.31,"843,839",11.12,12.39,
33,포스코케미칼,"139,500",0,0.00%,500,"108,061","77,463",7.51,"369,663",313.48,11.57,
34,롯데케미칼,"298,000","14,000",+4.93%,"5,000","102,141","34,275",26.27,"615,942",88.09,5.51,
35,한온시스템,"17,750",600,-3.27%,100,"94,750","533,800",20.08,"1,479,579",67.49,14.98,
36,S-Oil,"80,200","5,600",+7.51%,"2,500","90,291","112,583",76.21,"2,606,923",-10.75,1.01,
37,빅히트,"245,500","2,500",+1.03%,500,"87,456","35,624",9.34,"324,454",N/A,56.47,
38,한화솔루션,"54,100",100,-0.18%,"5,000","86,487","159,864",18.92,"2,442,477",-99.27,-4.02,
39,LG디스플레이,"23,000",200,-0.86%,"5,000","82,298","357,816",23.99,"2,769,833",-3.35,-22.35,
40,삼성화재,"170,000","2,000",+1.19%,500,"80,537","47,375",44.23,"187,001",12.43,4.85,
41,금호석유,"262,000","14,500",-5.24%,"5,000","79,825","30,468",28.39,"706,534",22.42,11.84,
42,고려아연,"412,500","2,000",-0.48%,"5,000","77,839","18,870",22.85,"55,064",13.90,9.76,
43,현대글로비스,"200,000","21,000",-9.50%,500,"75,000","37,500",34.76,"903,162",11.24,11.25,
44,한국조선해양,"100,500","2,300",+2.34%,"5,000","71,127","70,773",16.46,"382,764",332.78,1.40,
45,CJ제일제당,"454,500","11,000",+2.48%,"5,000","68,421","15,054",24.60,"126,240",9.44,3.16,
46,우리금융지주,"9,410",80,+0.86%,"5,000","67,965","722,268",25.05,"2,026,428",5.05,N/A,
47,미래에셋대우,"9,930",140,+1.43%,"5,000","64,080","645,316",14.85,"2,632,218",10.38,7.56,
48,KT,"24,050",0,0.00%,"5,000","62,797","261,112",43.80,"1,194,818",10.25,4.61,
49,기업은행,"8,490",260,+3.16%,"5,000","62,713","738,664",10.41,"3,906,870",4.34,7.36,
50,한국타이어앤테크놀로지,"49,950","4,900",+10.88%,500,"61,876","123,875",40.80,"1,589,692",24.04,6.03,
51,KODEX 200,"42,530",420,-0.98%,0,"59,010","138,750",7.80,"5,632,279",N/A,N/A,
52,LG유플러스,"12,550",150,-1.18%,"5,000","54,795","436,611",30.11,"3,533,028",6.91,6.30,
53,대한항공,"31,400","1,400",+4.67%,"5,000","54,702","174,210",11.65,"7,185,992",-9.24,-22.09,
54,현대제철,"40,650",350,-0.85%,"5,000","54,246","133,446",19.27,"844,584",-22.02,0.10,
55,코웨이,"70,800",700,+1.00%,500,"52,250","73,800",60.80,"283,126",14.63,30.74,
56,강원랜드,"24,400",500,+2.09%,500,"52,201","213,940",22.17,"889,950",-27.48,9.16,
57,아모레G,"63,200",500,+0.80%,500,"52,114","82,458",20.04,"159,973",223.32,4.12,
58,녹십자,"437,500","15,500",-3.42%,"5,000","51,129","11,687",21.19,"337,227",117.36,-0.35,
59,한미사이언스,"75,700","1,100",-1.43%,500,"50,950","67,305",1.76,"125,422",344.09,4.73,
60,SK케미칼,"420,000","3,000",-0.71%,"5,000","49,314","11,741",21.90,"304,754",19.16,1.51,
61,LG이노텍,"207,000","4,500",-2.13%,"5,000","48,991","23,667",31.20,"186,218",37.53,4.73,
62,오리온,"122,000",500,+0.41%,500,"48,234","39,536",42.05,"87,448",17.62,14.24,
63,이마트,"172,500","4,500",+2.68%,"5,000","48,086","27,876",31.41,"176,063",8.61,2.76,
64,한국금융지주,"86,000",800,+0.94%,"5,000","47,924","55,726",30.28,"360,192",7.87,18.14,
65,SKC,"125,500","5,000",-3.83%,"5,000","47,525","37,868",8.12,"609,211",55.70,3.86,
66,현대건설,"42,650",200,+0.47%,"5,000","47,493","111,356",18.63,"841,502",20.79,6.30,
67,HMM,"14,400",350,+2.49%,"5,000","47,218","327,902",6.62,"4,117,923",-46.45,-55.46,
68,유한양행,"66,000",300,-0.45%,"1,000","46,182","69,973",19.91,"241,010",25.42,2.43,
69,두산중공업,"12,250",450,+3.81%,"5,000","45,893","374,637",10.57,"3,986,808",-2.64,-14.73,
70,한미약품,"368,000","1,000",-0.27%,"2,500","44,448","12,078",14.04,"57,791","-3,572.82",7.30,
71,현대중공업지주,"264,500","9,500",+3.73%,"5,000","41,787","15,799",17.63,"120,916",-80.13,2.20,
72,CJ대한통운,"180,000","4,000",-2.17%,"5,000","41,062","22,812",21.74,"109,457",32.45,1.41,
73,신풍제약,"77,300","2,500",-3.13%,500,"40,957","52,985",11.56,"1,049,548",757.84,2.57,
74,맥쿼리인프라,"10,900",50,+0.46%,0,"40,569","372,192",14.25,"788,388",N/A,N/A,
75,한진칼,"60,800",300,-0.49%,"2,500","40,288","66,263",15.44,"59,561",-10.03,-17.56,
76,삼성중공업,"6,330",110,+1.77%,"5,000","39,879","630,000",15.01,"5,560,424",-3.19,-21.88,
77,키움증권,"155,000","6,000",+4.03%,"5,000","39,748","25,644",22.39,"257,827",6.84,16.97,
78,동서,"39,200",700,+1.82%,500,"39,082","99,700",4.42,"449,877",28.26,10.53,
79,현대차2우B,"107,000","7,000",-6.14%,"5,000","39,039","36,485",61.16,"189,374",25.57,N/A,
80,두산퓨얼셀,"59,600",800,-1.32%,100,"39,034","65,494",19.62,"842,098",174.78,N/A,
81,한국항공우주,"39,250",50,-0.13%,"5,000","38,259","97,475",14.00,"2,332,221",28.90,15.84,
82,LG화학우,"486,000","6,000",-1.22%,"5,000","37,368","7,689",64.05,"30,281",45.41,N/A,
83,삼성카드,"32,250",550,+1.74%,"5,000","37,364","115,859",10.73,"161,197",9.07,5.04,
84,롯데지주,"34,650","1,200",+3.59%,200,"36,351","104,909",11.26,"209,130",-5.07,-5.21,
85,GS,"38,900",850,+2.23%,"5,000","36,144","92,915",19.13,"513,316",-42.19,6.26,
86,삼성증권,"39,700",600,+1.53%,"5,000","35,452","89,300",26.00,"495,474",7.54,8.15,
87,일진머티리얼즈,"76,800",600,+0.79%,500,"35,413","46,111",8.60,"616,798",79.67,8.52,
88,쌍용양회,"6,960",220,+3.26%,100,"35,069","503,860",2.82,"4,027,783",27.95,7.02,
89,NH투자증권,"11,850",0,0.00%,"5,000","33,347","281,409",15.36,"920,142",5.76,9.12,
90,더존비즈온,"109,500",0,0.00%,500,"32,992","30,130",45.63,"98,073",68.05,18.78,
91,롯데쇼핑,"116,000","5,500",+4.98%,"5,000","32,815","28,289",11.60,"231,699",-2.45,-8.14,
92,호텔신라,"83,300","1,300",+1.59%,"5,000","32,694","39,248",18.54,"590,869",-25.28,20.16,
93,GS건설,"40,150",150,-0.37%,"5,000","32,435","80,785",26.38,"688,154",10.50,11.79,
94,TIGER 200,"42,365",425,-0.99%,0,"32,261","76,150",0.88,"560,954",N/A,N/A,
95,두산밥캣,"32,150",450,-1.38%,500,"32,230","100,249",22.12,"535,859",17.40,7.05,
96,만도,"68,000","5,500",-7.48%,"1,000","31,931","46,957",25.26,"1,643,630",-57.58,7.55,
97,에스원,"84,000",500,+0.60%,500,"31,919","37,999",56.30,"49,859",22.11,11.32,
98,한국가스공사,"33,700","1,700",+5.31%,"5,000","31,109","92,313",8.88,"716,534",-6.20,0.48,
99,CJ,"100,000",200,+0.20%,"5,000","29,177","29,177",19.75,"70,712",16.61,6.24,
